#deck column:17
#separator:Semicolon
#notetype:Basic_Image_several_answers
#columns:slide;pregunta;imagen_frontal;respuesta;imagen_respuesta;r1;r2;r3;r4;r5;r6;r7;r8;r9;r10;tags;deck
#tags column:16
#html:true
ca.32;¿Cuándo un circuito se dice que es de parámetros concentrados?;  ;Cuando el circuito posee una longitud lo suficientemente pequeña como para que se considera la distribución de la tensión instantánea en todas las partes del mismo ([latex]$\frac{\lambda}{20}\leq300$[/latex] km);  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#ca;G280-G412::Tema 1. Elementos Circuitos Lineales
ca.33;¿Cuándo un circuito se dice que es de parámetros distribuidos?;  ;Cuando el circuito posee una longitud tal que la distribución de la tensión no se puede considerar instantánea en todas las partes del mismo ([latex]$\frac{\lambda}{20}>300$[/latex] km);  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#ca;G280-G412::Tema 1. Elementos Circuitos Lineales
ca.34;"¿Cuáles son los elementos ""Activos"" de un circuito eléctrico?";  ;Las fuentes de tensión y las fuentes de corriente;"<img src=""aag_eyj.png"">";  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#ca;G280-G412::Tema 1. Elementos Circuitos Lineales
ca.35;"¿Cuáles son los elementos ""Pasivos"" de un circuito eléctrico?";  ;Las impedancias que pueden ser: bobinas, resistencias y condensadores;"<img src=""aag_z.png"">";  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#ca;G280-G412::Tema 1. Elementos Circuitos Lineales
ca.36;"¿Qué es un ""Nudo""?";  ;Es un punto en el que confluyen tres o más ramas (el nudo de referencia no se tiene en cuenta puesto que se conoce su potencial eléctrico);  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#ca;G280-G412::Tema 1. Elementos Circuitos Lineales
ca.37;"¿Qué es una ""Malla""?";  ;Es un camino cerrado que no posee en su interior ningún otro lazo.;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#ca;G280-G412::Tema 1. Elementos Circuitos Lineales
ca.38;"¿Cuál es la diferencia entre ""Potencia"" y ""Energía eléctrica""?";  ;La energía (J o Ws) es una medida de la capacidad de algo para realizar un trabajo. La potencia es la velocidad a la que se transfiere la energía (W). Ej: si poseo una batería que tiene almacenada una energía de 60 J o Ws y una bombilla que consume 10 W de potencia la bobilla podrá estar encendida durante 6 s.;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#ca;G280-G412::Tema 1. Elementos Circuitos Lineales
ca.39;"¿Para que a una Fuente de Tensión se le considere ""generador"" como debe atravesar la corriente su polaridad?";  ;De menos a más;"<img src=""aag_e.png"">";  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#ca;G280-G412::Tema 1. Elementos Circuitos Lineales
ca.40;"¿Para que a una Fuente de Corriente se le considere ""generador"" como debe ser su polaridad?";  ;El más debe estar en la punta de la flecha;"<img src=""aag_j.png"">";  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#ca;G280-G412::Tema 1. Elementos Circuitos Lineales
ca.41;"¿Para que a una Fuente de Tensión se le considere ""motor"" como debe atravesar la corriente su polaridad?";  ;De más a menos;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#ca;G280-G412::Tema 1. Elementos Circuitos Lineales
ca.42;"¿Para que a una Fuente de Corriente se le considere ""motor"" como debe ser su polaridad?";  ;El menos debe estar en la punta de la flecha;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#ca;G280-G412::Tema 1. Elementos Circuitos Lineales
ca.43;En una impedancia, ¿cómo debe atravesar la corriente su polaridad?;  ;De más a menos al ser un elemento pasivo;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#ca;G280-G412::Tema 1. Elementos Circuitos Lineales
ca.44;¿Cuál es la Ley de Faraday?;  ;Si una bobina observa una variación del fujo con el tiempo, se produce una f.e.m.;"<img src=""aag_faraday.png"">";  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#ca;G280-G412::Tema 1. Elementos Circuitos Lineales
ca.45;¿Cómo se calcula el valor medio de una onda sinusoidal?;  ;  ;"<img src=""aag_valor_medio.png"">";  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#ca;G280-G412::Tema 1. Elementos Circuitos Lineales
ca.46;¿Cómo se calcula el valor eficaz de una onda sinusoidal?;  ;  ;"<img src=""aag_valor_eficaz.png"">";  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#ca;G280-G412::Tema 1. Elementos Circuitos Lineales
ca.47;¿Qué es un amperímetro y cómo se conecta en un circuito eléctrico?;  ;Es un elemento que mide la corriente eléctrica, que se conecta en serie con el elemento del cual quieres medir la corriente y que posee una resistencia muy baja (cortocircuito);  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#ca;G280-G412::Tema 1. Elementos Circuitos Lineales
ca.48;¿Qué es un voltímetro y coómo se conecta en un circuito eléctrico?;  ;Es un elemento que mide la d.d.p. eléctrico entre dos puntos, que se conecta en paralelo con el elemento del cual quieres medir su tensión y que posee una resistencia muy alta (circuito abierto);  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#ca;G280-G412::Tema 1. Elementos Circuitos Lineales
ca.49;¿Qué es un vatémetro y cómo se conecta en un circuito eléctrico?;  ;Es la combinación de un amperímetro y de un voltímetro;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#ca;G280-G412::Tema 1. Elementos Circuitos Lineales
ca.50;¿Cuál es la potencia media en una resistencia?;  ;[latex]$P=R\cdot I^2=\frac{U^2}{R}$[/latex];  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#ca;G280-G412::Tema 1. Elementos Circuitos Lineales
ca.51;¿Cuál es la potencia media en una bobina o condensador?;  ;0;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#ca;G280-G412::Tema 1. Elementos Circuitos Lineales
ca.52;¿Cómo se calcula la resistencia de un cable?;  ;[latex]$R=\rho \cdot \frac{L}{S}$[/latex];  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#ca;G280-G412::Tema 1. Elementos Circuitos Lineales
ca.53;¿Cómo se calcula la energía almacenada en una bobina y en un condensador ?;  ;[latex]$W_{L} = \frac{1}{2}LI^2$[/latex] y [latex]$W_{C} = \frac{1}{2}CU^2$[/latex];  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#ca;G280-G412::Tema 1. Elementos Circuitos Lineales
ca.54;¿A qué es equivalente una bobina en DC?;  ;A un cortocircuito;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#ca;G280-G412::Tema 1. Elementos Circuitos Lineales
ca.55;¿A qué es equivalente una bobina en AC?;  ;A una bobina;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#ca;G280-G412::Tema 1. Elementos Circuitos Lineales
ca.56;¿A qué es equivalente una condensador en DC?;  ;A un circuito abierto;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#ca;G280-G412::Tema 1. Elementos Circuitos Lineales
ca.57;¿A qué es equivalente una condensador en AC?;  ;A un condensador;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#ca;G280-G412::Tema 1. Elementos Circuitos Lineales
ca.58;¿Cuál es la Ley de Ohm Generalizada?;  ;[latex]$U = Z \cdot I$[/latex];  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#ca;G280-G412::Tema 1. Elementos Circuitos Lineales
ca.59;¿Cómo se asocian Z, R y L en serie?;  ;Se suman;"<img src=""aag_z_serie.png"">";  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#ca;G280-G412::Tema 1. Elementos Circuitos Lineales
ca.60;¿Cómo se asocian Z, R y L en paralelo?;  ;Se suman las inversas y se hace la inversa (en el caso de solo 2, producto partido de la suma);"<img src=""aag_z_paralelo.png"">";  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#ca;G280-G412::Tema 1. Elementos Circuitos Lineales
ca.61;¿Cómo se asocian C en serie?;  ;Se suman las inversas y se hace la inversa (en el caso de solo 2, producto partido de la suma);"<img src=""aag_c_serie.png"">";  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#ca;G280-G412::Tema 1. Elementos Circuitos Lineales
ca.62;¿Cómo se asocian C en paralelo?;  ;Se suman;"<img src=""aag_c_paralelo.png"">";  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#ca;G280-G412::Tema 1. Elementos Circuitos Lineales
ca.63;¿Cómo se transforman Z, R o L de estrella a triángulo o viceversa si poseen el mismo valor ?;  ;  ;"<img src=""aag_z_triangulo.png"">";  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#ca;G280-G412::Tema 1. Elementos Circuitos Lineales
ca.64;¿Cómo se transforman Z, R o L de triángulo a estrella si no poseen el mismo valor ?;  ;  ;"<img src=""aag_z_triangulo_estrella.png"">";  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#ca;G280-G412::Tema 1. Elementos Circuitos Lineales
ca.65;¿Cómo se transforman Z, R o L de estrella a triángulo si no poseen el mismo valor ?;  ;  ;"<img src=""aag_z_estrella_triangulo.png"">";  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#ca;G280-G412::Tema 1. Elementos Circuitos Lineales
ca.66;¿Cómo se transforman C de estrella a triángulo o viceversa si poseen el mismo valor ?;  ;  ;"<img src=""aag_c_triangulo.png"">";  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#ca;G280-G412::Tema 1. Elementos Circuitos Lineales
ca.67;¿Cómo se calcula el rendimiento de una fuente real de tensión si trabaja como motor?;  ;  ;"<img src=""aag_z_rendi_moto.png"">";  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#ca;G280-G412::Tema 1. Elementos Circuitos Lineales
