#deck column:17
#separator:Semicolon
#notetype:Basic_Image_several_answers
#columns:slide;pregunta;imagen_frontal;respuesta;imagen_respuesta;r1;r2;r3;r4;r5;r6;r7;r8;r9;r10;tags;deck
#tags column:16
#html:true
intro.intro.1;What role is each block playing in the following diagram?;"<img src=""ed_block_diagram_01_mm.png"">";  ;"<img src=""ed_block_diagram_01_sol_mm.png"">";  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#intro;G875::Introduction
mecanica.m.1;The inertia of a rotating cilinder depends on:;  ;mass and radius.;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#mechanics;G875::Mechanical requirements
convertidores.pc.1;Considering you are in Spain, what is the peak value of the 100 Hz component if the amplitude in the following spectrum is provided as RMS values?;"<img src=""spectrum_01_mm.png"">";0 V. There is no component of 100 Hz (2nd harmonic);  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#converter;G875::Power Converters
convertidores.pc.2;What is the mean value of the signal in the following spectrum?;"<img src=""spectrum_01_mm.png"">";5 V;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#converter;G875::Power Converters
convertidores.pc.3;What is the peak value of the following signal?;"<img src=""signal_01_mm.png"">";150 V;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#converter;G875::Power Converters
convertidores.pc.4;In an ideal power switch, the switching times are:;  ;Both the time needed to switch from on to off, and vice versa, is equal to 0 seconds.;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#converter;G875::Power Converters
convertidores.pc.5 ;In an ideal power switch, the equivalent resistance during the on state is:;  ;[latex]$R_{on}$[/latex] equal to 0 ohms.;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#converter;G875::Power Converters
convertidores.pc.6;In an ideal power switch, the equivalent resistance during the off state is:;  ;[latex]$R_{off}\rightarrow\infty$[/latex]  ohms.;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#converter;G875::Power Converters
convertidores.pc.7;In an ideal power switch, the power needed to change the state of the switch is:;  ;0 W.;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#converter;G875::Power Converters
convertidores.pc.8;In an ideal power switch, the maximum voltage drop during the off state of the switch is:;  ;[latex]$\infty$[/latex]  V.;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#converter;G875::Power Converters
convertidores.pc.9;In an ideal power switch, the maximum current during the on state of the switch is:;  ;[latex]$\infty$[/latex]  A.;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#converter;G875::Power Converters
convertidores.pc.10;What is the typical switching frequency and maximum power of an IGBT;  ;[latex]$f_s$[/latex] equal to 5 kHz and [latex]$S_{max}$[/latex] equal to 10 kVA.;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#converter;G875::Power Converters
convertidores.pc.11;What is the typical switching frequency and maximum power of a Diode ;  ;[latex]$f_s$[/latex] equal to 50 Hz and [latex]$S_{max}$[/latex] equal to 10 MVA.;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#converter;G875::Power Converters
convertidores.pc.12;What is the typical switching frequency and maximum power of a Mosfet;  ;[latex]$f_s$[/latex] equal to 100 kHz and [latex]$S_{max}$[/latex] equal to 100 VA.;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#converter;G875::Power Converters
convertidores.pc.13;What is the typical switching frequency and maximum power of a GTO;  ;[latex]$f_s$[/latex] equal to 100 Hz and [latex]$S_{max}$[/latex] equal to 500 kVA.;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#converter;G875::Power Converters
convertidores.pc.14;"Which concept do you think is not related to a switched-mode power suppy: i) transformer; ii) high efficiency; iii) rectifier; iv) dc-dc converter; v) semiconductor operating in the linear region";  ;v) semiconductor operating in the linear region.;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#converter;G875::Power Converters
reluctancia.sm.1;What is the number of steps per revolution of a stepper motor with a stepper angle of 1.8 degrees per step?;  ;200.;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#stepper motor;G875::Stepper Motor
reluctancia.sm.2;What is the pull-out torque?;  ;Pull-out torque refers to the maximum torque that a stepper motor can generate while operating at a given speed before it loses synchronization with the input pulses, causing the motor to ”miss” steps or stall. When the motor’s load exceeds the pull-out torque, it can no longer maintain its designed step angle or speed, resulting in a loss of position accuracy. Pull-out torque decreases as the speed of the  motor increases due to the inherent characteristics of stepper motors.;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#stepper motor;G875::Stepper Motor
reluctancia.sm.3;What is the maximum no load starting speed in the following T vs speed torque?;"<img src=""stepper_motor_01_mm.png"">";500 rpm;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#stepper motor;G875::Stepper Motor
reluctancia.sm.4;Obtain the stepper angle of the following motor;"<img src=""stepper_motor_02_mm.png"">";10 degrees/step;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#stepper motor;G875::Stepper Motor
